Index    | Inverted Suffix                | Original Word
--------------------------------------------------------------------------------
0        | 0hlyw8HQg                     | gQH8wylh0
1        | 0WWoYKIZmWNI5BVUEVkOVLmnPUY | 0
2        | 3DnBCpWbLNPC0hlyw8HQg        | CBnD3
3        | 3M7Y9wgEL457kxmF0WWoYKIZmWN | 7M3
4        | 457kxmF0WWoYKIZmWNI5BVUEVkOV | 0Fmxk754
5        | 57kxmF0WWoYKIZmWNI5BVUEVkOVL | 0Fmxk75
6        | 5BVUEVkOVLmnPUYuNFfkX3DnBCpW | mLVOkVEUVB5
7        | 7kxmF0WWoYKIZmWNI5BVUEVkOVLm | 0Fmxk7
8        | 7Y9wgEL457kxmF0WWoYKIZmWNI5 | 7
9        | 8HQg                          | gQH8
10       | 8forQoMHE3M7Y9wgEL457kxmF0WW | 7M3EHMoQrof8
11       | 9wgEL457kxmF0WWoYKIZmWNI5BVU | 0Fmxk754LEgw9
12       | BCpWbLNPC0hlyw8HQg           | CB
13       | BVUEVkOVLmnPUYuNFfkX3DnBCpWb | mLVOkVEUVB
14       | C0hlyw8HQg                    | gQH8wylh0C
15       | CpWbLNPC0hlyw8HQg            | C
16       | DnBCpWbLNPC0hlyw8HQg         | CBnD
17       | E3M7Y9wgEL457kxmF0WWoYKIZmW | 7M3E
18       | EL457kxmF0WWoYKIZmWNI5BVUEVk | 0Fmxk754LE
19       | EVkOVLmnPUYuNFfkX3DnBCpWbLNP | mLVOkVE
20       | F0WWoYKIZmWNI5BVUEVkOVLmnPU | 0F
21       | FfkX3DnBCpWbLNPC0hlyw8HQg    | CBnD3XkfF
22       | HE3M7Y9wgEL457kxmF0WWoYKIZmW | 7M3EH
23       | HQg                           | gQH
24       | I5BVUEVkOVLmnPUYuNFfkX3DnBCp | mLVOkVEUVB5I
25       | IZmWNI5BVUEVkOVLmnPUYuNFfkX3 | WmZI
26       | KIZmWNI5BVUEVkOVLmnPUYuNFfkX | WmZIK
27       | L457kxmF0WWoYKIZmWNI5BVUEVkO | 0Fmxk754L
28       | LNPC0hlyw8HQg                 | gQH8wylh0CPNL
29       | LmnPUYuNFfkX3DnBCpWbLNPC0hly | mL
30       | M7Y9wgEL457kxmF0WWoYKIZmWNI | 7M
31       | MHE3M7Y9wgEL457kxmF0WWoYKIZm | 7M3EHM
32       | NFfkX3DnBCpWbLNPC0hlyw8HQg   | CBnD3XkfFN
33       | NI5BVUEVkOVLmnPUYuNFfkX3DnBC | mLVOkVEUVB5IN
34       | NPC0hlyw8HQg                  | gQH8wylh0CPN
35       | OVLmnPUYuNFfkX3DnBCpWbLNPC0h | mLVO
36       | PC0hlyw8HQg                   | gQH8wylh0CP
37       | PUYuNFfkX3DnBCpWbLNPC0hlyw8HQ | CBnD3XkfFNuYUP
38       | Qg                            | gQ
39       | QoMHE3M7Y9wgEL457kxmF0WWoYKI | 7M3EHMoQ
40       | RV8forQoMHE3M7Y9wgEL457kxmF0 | 7M3EHMoQrof8VR
41       | UEVkOVLmnPUYuNFfkX3DnBCpWbLN | mLVOkVEU
42       | UYuNFfkX3DnBCpWbLNPC0hlyw8HQg | CBnD3XkfFNuYU
43       | V8forQoMHE3M7Y9wgEL457kxmF0W | 7M3EHMoQrof8V
44       | VLmnPUYuNFfkX3DnBCpWbLNPC0hl | mLV
45       | VUEVkOVLmnPUYuNFfkX3DnBCpWbL | mLVOkVEUV
46       | VkOVLmnPUYuNFfkX3DnBCpWbLNPC | mLVOkV
47       | WWoYKIZmWNI5BVUEVkOVLmnPUYuN | WmZIKYoWW
48       | WbLNPC0hlyw8HQg               | gQH8wylh0CPNLbW
49       | WoYKIZmWNI5BVUEVkOVLmnPUYuNF | WmZIKYoW
50       | WNI5BVUEVkOVLmnPUYuNFfkX3DnB | W
51       | X3DnBCpWbLNPC0hlyw8HQg       | CBnD3X
52       | Y9wgEL457kxmF0WWoYKIZmWNI5BV | 0Fmxk754LEgw9Y
53       | YKIZmWNI5BVUEVkOVLmnPUYuNFfk | WmZIKY
54       | YuNFfkX3DnBCpWbLNPC0hlyw8HQg | CBnD3XkfFNuY
55       | ZmWNI5BVUEVkOVLmnPUYuNFfkX3D | WmZ
56       | bLNPC0hlyw8HQg                | gQH8wylh0CPNLb
57       | fkX3DnBCpWbLNPC0hlyw8HQg     | CBnD3Xkf
58       | forQoMHE3M7Y9wgEL457kxmF0WWo | 7M3EHMoQrof
