Index    | Inverted Suffix                | Original Word
--------------------------------------------------------------------------------
0        | 0QvnrjU3q                     | q3UjrnvQ0
1        | 0VgFLtTAgq7l8h6H8yNUtkeZ4OHA | gV0
2        | 0hlyw8HQgxKQjj1J2E1hRI8rIYT | gQH8wylh0
3        | 0WWoYKIZmWNI5BVUEVkOVLmnPUY | 0
4        | 119VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV911
5        | 14CliHlgXTdOOd1zvOfzDpcchORC | 41
6        | 19VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV91
7        | 1BBzatSXNbE2riqdBEMEuPJUBrv | BB1
8        | 1ekXJ0QvnrjU3q               | JXke1
9        | 1hRI8rIYTffZe5jxPAfzCvoBgjO7 | r8IRh1
10       | 1zvOfzDpcchORCNwkZCx119VOelw | pDzfOvz1
11       | 1J2E1hRI8rIYTffZe5jxPAfzCvoB | 1
12       | 2CVL9cjBaekjOnm6TLMs91BBzatS | jc9LVC2
13       | 2E1hRI8rIYTffZe5jxPAfzCvoBgj | r8IRh1E2
14       | 2MseLdUQJyxSJ2CVL9cjBaekjOn | esM2
15       | 2TKHR6xyHohGCih4IBjQ3XappCi4 | hoHyx6RHKT2
16       | 2riqdBEMEuPJUBrvFwAvW8hL0Vg | MEBdqir2
17       | 3DnBCpWbLNPC0hlyw8HQgxKQjj1 | CBnD3
18       | 3M7Y9wgEL457kxmF0WWoYKIZmWN | 7M3
19       | 3XappCi4oM1ekXJ0QvnrjU3q     | JXke1Mo4iCppaX3
20       | 3q                            | q3
21       | 457kxmF0WWoYKIZmWNI5BVUEVkOV | 0Fmxk754
22       | 4IBjQ3XappCi4oM1ekXJ0QvnrjU3 | I4
23       | 4OHA5OMW5QCRRosoBnQr6MZO2TKHR | soRRCQ5WMO5AHO4
24       | 4oM1ekXJ0QvnrjU3q            | JXke1Mo4
25       | 4CliHlgXTdOOd1zvOfzDpcchORCN | 4
26       | 57kxmF0WWoYKIZmWNI5BVUEVkOVL | 0Fmxk75
27       | 5BVUEVkOVLmnPUYuNFfkX3DnBCpW | mLVOkVEUVB5
28       | 5OMW5QCRRosoBnQr6MZO2TKHR6xyH | soRRCQ5WMO5
29       | 5QCRRosoBnQr6MZO2TKHR6xyHohG | soRRCQ5
30       | 5jxPAfzCvoBgjO7vWmGinPoe14C | BovCzfAPxj5
31       | 6H8yNUtkeZ4OHA5OMW5QCRRosoBn | Ny8H6
32       | 6MZO2TKHR6xyHohGCih4IBjQ3Xap | hoHyx6RHKT2OZM6
33       | 6TLMs91BBzatSXNbE2riqdBEMEuP | BB19sMLT6
34       | 6xyHohGCih4IBjQ3XappCi4oM1ek | hoHyx6
35       | 7kxmF0WWoYKIZmWNI5BVUEVkOVLm | 0Fmxk7
36       | 7l8h6H8yNUtkeZ4OHA5OMW5QCRRos | Ny8H6h8l7
37       | 7vWmGinPoe14CliHlgXTdOOd1zvO | GmWv7
38       | 7Y9wgEL457kxmF0WWoYKIZmWNI5 | 7
39       | 8HQgxKQjj1J2E1hRI8rIYTffZe5 | gQH8
40       | 8forQoMHE3M7Y9wgEL457kxmF0WW | 7M3EHMoQrof8
41       | 8h6H8yNUtkeZ4OHA5OMW5QCRRoso | Ny8H6h8
42       | 8hL0VgFLtTAgq7l8h6H8yNUtkeZ4 | gV0Lh8
43       | 8rIYTffZe5jxPAfzCvoBgjO7vWmG | r8
44       | 8yNUtkeZ4OHA5OMW5QCRRosoBnQr | Ny8
45       | 91BBzatSXNbE2riqdBEMEuPJUBr | BB19
46       | 9VOelw2MseLdUQJyxSJ2CVL9cjB | esM2wleOV9
47       | 9cjBaekjOnm6TLMs91BBzatSXNbE | jc9
48       | 9wgEL457kxmF0WWoYKIZmWNI5BVU | 0Fmxk754LEgw9
49       | A5OMW5QCRRosoBnQr6MZO2TKHR6xy | soRRCQ5WMO5A
50       | AfzCvoBgjO7vWmGinPoe14CliHl | BovCzfA
51       | Agq7l8h6H8yNUtkeZ4OHA5OMW5QCR | Ny8H6h8l7qgA
52       | AvW8hL0VgFLtTAgq7l8h6H8yNUtk | gV0Lh8WvA
53       | BBzatSXNbE2riqdBEMEuPJUBrvF | BB
