Index    | Inverted Suffix                | Original Word
--------------------------------------------------------------------------------
0        | 0QvnrjU3qpkFSv3gdjDtrC96wZDY | q3UjrnvQ0
1        | 0VgFLtTAgq7l8h6H8yNUtkeZ4OHA | gV0
2        | 0hlyw8HQgxKQjj1J2E1hRI8rIYT | gQH8wylh0
3        | 0WWoYKIZmWNI5BVUEVkOVLmnPUY | 0
4        | 119VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV911
5        | 14CliHlgXTdOOd1zvOfzDpcchORC | 41
6        | 15bc1eXZFRxk6nlwwAOX9x4Dtz1x | kxRFZXe1cb51
7        | 19VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV91
8        | 1BBzatSXNbE2riqdBEMEuPJUBrv | BB1
9        | 1eXZFRxk6nlwwAOX9x4Dtz1xo8  | kxRFZXe1
10       | 1ekXJ0QvnrjU3qpkFSv3gdjDtrC | JXke1
11       | 1eyBgBwQC6kalomgrG8SEnIwcjQ6 | k6CQwBgBye1
12       | 1hRI8rIYTffZe5jxPAfzCvoBgjO7 | r8IRh1
13       | 1xo8                          | 8ox1
14       | 1zvOfzDpcchORCNwkZCx119VOelw | pDzfOvz1
15       | 1J2E1hRI8rIYTffZe5jxPAfzCvoB | 1
16       | 2CVL9cjBaekjOnm6TLMs91BBzatS | jc9LVC2
17       | 2E1hRI8rIYTffZe5jxPAfzCvoBgj | r8IRh1E2
18       | 2MseLdUQJyxSJ2CVL9cjBaekjOn | esM2
19       | 2TKHR6xyHohGCih4IBjQ3XappCi4 | hoHyx6RHKT2
20       | 2riqdBEMEuPJUBrvFwAvW8hL0Vg | MEBdqir2
21       | 3DnBCpWbLNPC0hlyw8HQgxKQjj1 | CBnD3
22       | 3M7Y9wgEL457kxmF0WWoYKIZmWN | 7M3
23       | 3XappCi4oM1ekXJ0QvnrjU3qpkFS | JXke1Mo4iCppaX3
24       | 3gdjDtrC96wZDYtHBUrBoPTZPYXx | tDjdg3
25       | 3qpkFSv3gdjDtrC96wZDYtHBUrBo | q3
26       | 457kxmF0WWoYKIZmWNI5BVUEVkOV | 0Fmxk754
27       | 4Dtz1xo8                      | 8ox1ztD4
28       | 4IBjQ3XappCi4oM1ekXJ0QvnrjU3 | I4
29       | 4OHA5OMW5QCRRosoBnQr6MZO2TKHR | soRRCQ5WMO5AHO4
30       | 4oM1ekXJ0QvnrjU3qpkFSv3gdjDt | JXke1Mo4
31       | 4pbhzRJJ15bc1eXZFRxk6nlwwAO | p4
32       | 4CliHlgXTdOOd1zvOfzDpcchORCN | 4
33       | 57kxmF0WWoYKIZmWNI5BVUEVkOVL | 0Fmxk75
34       | 5BVUEVkOVLmnPUYuNFfkX3DnBCpW | mLVOkVEUVB5
35       | 5OMW5QCRRosoBnQr6MZO2TKHR6xyH | soRRCQ5WMO5
36       | 5QCRRosoBnQr6MZO2TKHR6xyHohG | soRRCQ5
37       | 5bc1eXZFRxk6nlwwAOX9x4Dtz1xo | kxRFZXe1cb5
38       | 5jxPAfzCvoBgjO7vWmGinPoe14C | BovCzfAPxj5
39       | 6H8yNUtkeZ4OHA5OMW5QCRRosoBn | Ny8H6
40       | 6MZO2TKHR6xyHohGCih4IBjQ3Xap | hoHyx6RHKT2OZM6
41       | 6TLMs91BBzatSXNbE2riqdBEMEuP | BB19sMLT6
42       | 6gIRBk8iucZNd4pbhzRJJ15bc1eXZ | p4dNZcui8kBRIg6
43       | 6kalomgrG8SEnIwcjQ6gIRBk8iuc | k6
44       | 6nlwwAOX9x4Dtz1xo8           | OAwwln6
45       | 6wZDYtHBUrBoPTZPYXxteWnU1eyB | PoBrUBHtYDZw6
46       | 6xyHohGCih4IBjQ3XappCi4oM1ek | hoHyx6
47       | 7kxmF0WWoYKIZmWNI5BVUEVkOVLm | 0Fmxk7
48       | 7l8h6H8yNUtkeZ4OHA5OMW5QCRRos | Ny8H6h8l7
49       | 7vWmGinPoe14CliHlgXTdOOd1zvO | GmWv7
50       | 7Y9wgEL457kxmF0WWoYKIZmWNI5 | 7
51       | 8HQgxKQjj1J2E1hRI8rIYTffZe5 | gQH8
52       | 8SEnIwcjQ6gIRBk8iucZNd4pbhzR | nES8
53       | 8forQoMHE3M7Y9wgEL457kxmF0WW | 7M3EHMoQrof8
54       | 8h6H8yNUtkeZ4OHA5OMW5QCRRoso | Ny8H6h8
55       | 8hL0VgFLtTAgq7l8h6H8yNUtkeZ4 | gV0Lh8
56       | 8iucZNd4pbhzRJJ15bc1eXZFRxk6 | p4dNZcui8
57       | 8rIYTffZe5jxPAfzCvoBgjO7vWmG | r8
58       | 8yNUtkeZ4OHA5OMW5QCRRosoBnQr | Ny8
59       | 8                             | 8
60       | 91BBzatSXNbE2riqdBEMEuPJUBr | BB19
61       | 96wZDYtHBUrBoPTZPYXxteWnU1ey | PoBrUBHtYDZw69
62       | 9VOelw2MseLdUQJyxSJ2CVL9cjB | esM2wleOV9
63       | 9cjBaekjOnm6TLMs91BBzatSXNbE | jc9
64       | 9wgEL457kxmF0WWoYKIZmWNI5BVU | 0Fmxk754LEgw9
65       | 9x4Dtz1xo8                    | 8ox1ztD4x9
66       | A5OMW5QCRRosoBnQr6MZO2TKHR6xy | soRRCQ5WMO5A
67       | AOX9x4Dtz1xo8                | OA
68       | AfzCvoBgjO7vWmGinPoe14CliHl | BovCzfA
69       | Agq7l8h6H8yNUtkeZ4OHA5OMW5QCR | Ny8H6h8l7qgA
70       | AvW8hL0VgFLtTAgq7l8h6H8yNUtk | gV0Lh8WvA
71       | BBzatSXNbE2riqdBEMEuPJUBrvF | BB
72       | BCpWbLNPC0hlyw8HQgxKQjj1J2E | CB
73       | BEMEuPJUBrvFwAvW8hL0VgFLtTA | MEB
74       | BUrBoPTZPYXxteWnU1eyBgBwQC6k | PoBrUB
75       | BVUEVkOVLmnPUYuNFfkX3DnBCpWb | mLVOkVEUVB
76       | BaekjOnm6TLMs91BBzatSXNbE2riq | BB19sMLT6mnOjkeaB
77       | BgBwQC6kalomgrG8SEnIwcjQ6gIR | k6CQwBgB
78       | BjQ3XappCi4oM1ekXJ0QvnrjU3qp | JXke1Mo4iCppaX3QjB
79       | Bk8iucZNd4pbhzRJJ15bc1eXZFRxk | p4dNZcui8kB
80       | BnQr6MZO2TKHR6xyHohGCih4IBjQ | hoHyx6RHKT2OZM6rQnB
81       | BoPTZPYXxteWnU1eyBgBwQC6kal | PoB
82       | BrvFwAvW8hL0VgFLtTAgq7l8h6H8 | rB
83       | BwQC6kalomgrG8SEnIwcjQ6gIRBk | k6CQwB
84       | BgjO7vWmGinPoe14CliHlgXTdOO | B
85       | BzatSXNbE2riqdBEMEuPJUBrvFw | B
86       | C0hlyw8HQgxKQjj1J2E1hRI8rIY | gQH8wylh0C
87       | C6kalomgrG8SEnIwcjQ6gIRBk8iu | k6C
88       | C96wZDYtHBUrBoPTZPYXxteWnU1e | PoBrUBHtYDZw69C
89       | CNwkZCx119VOelw2MseLdUQJyxS | NC
90       | CRRosoBnQr6MZO2TKHR6xyHohGCi | soRRC
91       | CVL9cjBaekjOnm6TLMs91BBzatSX | jc9LVC
92       | Ci4oM1ekXJ0QvnrjU3qpkFSv3gdj | JXke1Mo4iC
93       | Cih4IBjQ3XappCi4oM1ekXJ0Qvnr | I4hiC
94       | CliHlgXTdOOd1zvOfzDpcchORCNw | pDzfOvz1dOOdTXglHilC
95       | CvoBgjO7vWmGinPoe14CliHlgXT | BovC
96       | Cx119VOelw2MseLdUQJyxSJ2CVL9 | esM2wleOV911xC
97       | CpWbLNPC0hlyw8HQgxKQjj1J2E1 | C
98       | DYtHBUrBoPTZPYXxteWnU1eyBgBw | PoBrUBHtYD
99       | DnBCpWbLNPC0hlyw8HQgxKQjj1J | CBnD
100      | DpcchORCNwkZCx119VOelw2MseL | pD
101      | Dtz1xo8                       | 8ox1ztD
102      | DtrC96wZDYtHBUrBoPTZPYXxteW | tD
