Index    | Inverted Suffix                | Original Word
--------------------------------------------------------------------------------
0        | 0QvnrjU3qpkFSv3gdjDtrC96wZDY | q3UjrnvQ0
1        | 0VgFLtTAgq7l8h6H8yNUtkeZ4OHA | gV0
2        | 0hlyw8HQgxKQjj1J2E1hRI8rIYT | gQH8wylh0
3        | 0WWoYKIZmWNI5BVUEVkOVLmnPUY | 0
4        | 119VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV911
5        | 14CliHlgXTdOOd1zvOfzDpcchORC | 41
6        | 15bc1eXZFRxk6nlwwAOX9x4Dtz1x | kxRFZXe1cb51
7        | 19VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV91
8        | 1BBzatSXNbE2riqdBEMEuPJUBrv | BB1
9        | 1eXZFRxk6nlwwAOX9x4Dtz1xo8P | kxRFZXe1
10       | 1ekXJ0QvnrjU3qpkFSv3gdjDtrC | JXke1
11       | 1eyBgBwQC6kalomgrG8SEnIwcjQ6 | k6CQwBgBye1
12       | 1hRI8rIYTffZe5jxPAfzCvoBgjO7 | r8IRh1
13       | 1xo8PobLT3LBHqysDB           | 8ox1
14       | 1zvOfzDpcchORCNwkZCx119VOelw | pDzfOvz1
15       | 1J2E1hRI8rIYTffZe5jxPAfzCvoB | 1
16       | 2CVL9cjBaekjOnm6TLMs91BBzatS | jc9LVC2
17       | 2E1hRI8rIYTffZe5jxPAfzCvoBgj | r8IRh1E2
18       | 2MseLdUQJyxSJ2CVL9cjBaekjOn | esM2
19       | 2TKHR6xyHohGCih4IBjQ3XappCi4 | hoHyx6RHKT2
20       | 2riqdBEMEuPJUBrvFwAvW8hL0Vg | MEBdqir2
21       | 3DnBCpWbLNPC0hlyw8HQgxKQjj1 | CBnD3
22       | 3LBHqysDB                     | BDsyqHBL3
23       | 3M7Y9wgEL457kxmF0WWoYKIZmWN | 7M3
24       | 3XappCi4oM1ekXJ0QvnrjU3qpkFS | JXke1Mo4iCppaX3
25       | 3gdjDtrC96wZDYtHBUrBoPTZPYXx | tDjdg3
26       | 3qpkFSv3gdjDtrC96wZDYtHBUrBo | q3
27       | 457kxmF0WWoYKIZmWNI5BVUEVkOV | 0Fmxk754
28       | 4Dtz1xo8PobLT3LBHqysDB       | 8ox1ztD4
29       | 4IBjQ3XappCi4oM1ekXJ0QvnrjU3 | I4
30       | 4OHA5OMW5QCRRosoBnQr6MZO2TKHR | soRRCQ5WMO5AHO4
31       | 4oM1ekXJ0QvnrjU3qpkFSv3gdjDt | JXke1Mo4
32       | 4pbhzRJJ15bc1eXZFRxk6nlwwAO | p4
33       | 4CliHlgXTdOOd1zvOfzDpcchORCN | 4
34       | 57kxmF0WWoYKIZmWNI5BVUEVkOVL | 0Fmxk75
35       | 5BVUEVkOVLmnPUYuNFfkX3DnBCpW | mLVOkVEUVB5
36       | 5OMW5QCRRosoBnQr6MZO2TKHR6xyH | soRRCQ5WMO5
37       | 5QCRRosoBnQr6MZO2TKHR6xyHohG | soRRCQ5
38       | 5bc1eXZFRxk6nlwwAOX9x4Dtz1xo | kxRFZXe1cb5
39       | 5jxPAfzCvoBgjO7vWmGinPoe14C | BovCzfAPxj5
40       | 6H8yNUtkeZ4OHA5OMW5QCRRosoBn | Ny8H6
41       | 6MZO2TKHR6xyHohGCih4IBjQ3Xap | hoHyx6RHKT2OZM6
42       | 6TLMs91BBzatSXNbE2riqdBEMEuP | BB19sMLT6
43       | 6gIRBk8iucZNd4pbhzRJJ15bc1eXZ | p4dNZcui8kBRIg6
44       | 6kalomgrG8SEnIwcjQ6gIRBk8iuc | k6
45       | 6nlwwAOX9x4Dtz1xo8PobLT3LBHq | OAwwln6
46       | 6wZDYtHBUrBoPTZPYXxteWnU1eyB | PoBrUBHtYDZw6
47       | 6xyHohGCih4IBjQ3XappCi4oM1ek | hoHyx6
48       | 7kxmF0WWoYKIZmWNI5BVUEVkOVLm | 0Fmxk7
49       | 7l8h6H8yNUtkeZ4OHA5OMW5QCRRos | Ny8H6h8l7
50       | 7vWmGinPoe14CliHlgXTdOOd1zvO | GmWv7
51       | 7Y9wgEL457kxmF0WWoYKIZmWNI5 | 7
52       | 8HQgxKQjj1J2E1hRI8rIYTffZe5 | gQH8
53       | 8SEnIwcjQ6gIRBk8iucZNd4pbhzR | nES8
54       | 8forQoMHE3M7Y9wgEL457kxmF0WW | 7M3EHMoQrof8
55       | 8h6H8yNUtkeZ4OHA5OMW5QCRRoso | Ny8H6h8
56       | 8hL0VgFLtTAgq7l8h6H8yNUtkeZ4 | gV0Lh8
57       | 8iucZNd4pbhzRJJ15bc1eXZFRxk6 | p4dNZcui8
58       | 8rIYTffZe5jxPAfzCvoBgjO7vWmG | r8
59       | 8yNUtkeZ4OHA5OMW5QCRRosoBnQr | Ny8
60       | 8PobLT3LBHqysDB              | 8
61       | 91BBzatSXNbE2riqdBEMEuPJUBr | BB19
62       | 96wZDYtHBUrBoPTZPYXxteWnU1ey | PoBrUBHtYDZw69
63       | 9VOelw2MseLdUQJyxSJ2CVL9cjB | esM2wleOV9
64       | 9cjBaekjOnm6TLMs91BBzatSXNbE | jc9
65       | 9wgEL457kxmF0WWoYKIZmWNI5BVU | 0Fmxk754LEgw9
66       | 9x4Dtz1xo8PobLT3LBHqysDB     | 8ox1ztD4x9
67       | A5OMW5QCRRosoBnQr6MZO2TKHR6xy | soRRCQ5WMO5A
68       | AOX9x4Dtz1xo8PobLT3LBHqysDB | OA
69       | AfzCvoBgjO7vWmGinPoe14CliHl | BovCzfA
70       | Agq7l8h6H8yNUtkeZ4OHA5OMW5QCR | Ny8H6h8l7qgA
71       | AvW8hL0VgFLtTAgq7l8h6H8yNUtk | gV0Lh8WvA
72       | BBzatSXNbE2riqdBEMEuPJUBrvF | BB
73       | BCpWbLNPC0hlyw8HQgxKQjj1J2E | CB
74       | BEMEuPJUBrvFwAvW8hL0VgFLtTA | MEB
75       | BHqysDB                       | BDsyqHB
76       | BUrBoPTZPYXxteWnU1eyBgBwQC6k | PoBrUB
77       | BVUEVkOVLmnPUYuNFfkX3DnBCpWb | mLVOkVEUVB
78       | BaekjOnm6TLMs91BBzatSXNbE2riq | BB19sMLT6mnOjkeaB
79       | BgBwQC6kalomgrG8SEnIwcjQ6gIR | k6CQwBgB
80       | BjQ3XappCi4oM1ekXJ0QvnrjU3qp | JXke1Mo4iCppaX3QjB
81       | Bk8iucZNd4pbhzRJJ15bc1eXZFRxk | p4dNZcui8kB
82       | BnQr6MZO2TKHR6xyHohGCih4IBjQ | hoHyx6RHKT2OZM6rQnB
83       | BoPTZPYXxteWnU1eyBgBwQC6kal | PoB
84       | BrvFwAvW8hL0VgFLtTAgq7l8h6H8 | rB
85       | BwQC6kalomgrG8SEnIwcjQ6gIRBk | k6CQwB
86       | BgjO7vWmGinPoe14CliHlgXTdOO | B
87       | BzatSXNbE2riqdBEMEuPJUBrvFw | B
88       | B                             | B
89       | C0hlyw8HQgxKQjj1J2E1hRI8rIY | gQH8wylh0C
90       | C6kalomgrG8SEnIwcjQ6gIRBk8iu | k6C
91       | C96wZDYtHBUrBoPTZPYXxteWnU1e | PoBrUBHtYDZw69C
92       | CNwkZCx119VOelw2MseLdUQJyxS | NC
93       | CRRosoBnQr6MZO2TKHR6xyHohGCi | soRRC
94       | CVL9cjBaekjOnm6TLMs91BBzatSX | jc9LVC
95       | Ci4oM1ekXJ0QvnrjU3qpkFSv3gdj | JXke1Mo4iC
96       | Cih4IBjQ3XappCi4oM1ekXJ0Qvnr | I4hiC
97       | CliHlgXTdOOd1zvOfzDpcchORCNw | pDzfOvz1dOOdTXglHilC
98       | CvoBgjO7vWmGinPoe14CliHlgXT | BovC
99       | Cx119VOelw2MseLdUQJyxSJ2CVL9 | esM2wleOV911xC
100      | CpWbLNPC0hlyw8HQgxKQjj1J2E1 | C
101      | DB                            | BD
102      | DYtHBUrBoPTZPYXxteWnU1eyBgBw | PoBrUBHtYD
