Index    | Inverted Suffix                | Original Word
--------------------------------------------------------------------------------
0        | 0FKdUHJ8sjUcqP9OQVESf6arR2vX | js8JHUdKF0
1        | 0OQu8DjOzQ6UtSotCvI9vIwPpzsbB | zOjD8uQO0
2        | 0QvnrjU3qpkFSv3gdjDtrC96wZDY | q3UjrnvQ0
3        | 0SXPyEqWMKzIpf6YjQJEeh1p7vDF | qEyPXS0
4        | 0UvaxV1RK4AmzXH99rVunQ5qCpHN | zmA4KR1VxavU0
5        | 0VgFLtTAgq7l8h6H8yNUtkeZ4OHA | gV0
6        | 0hlyw8HQgxKQjj1J2E1hRI8rIYT | gQH8wylh0
7        | 0qTBDHYq7TBRZN7gY             | Yg7NZRBT7qYHDBTq0
8        | 0WWoYKIZmWNI5BVUEVkOVLmnPUY | 0
9        | 119VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV911
10       | 12gWqY1X5uTbzdRRoiHtqrer6nqt | bTu5X1YqWg21
11       | 14CliHlgXTdOOd1zvOfzDpcchORC | 41
12       | 15bc1eXZFRxk6nlwwAOX9x4Dtz1x | kxRFZXe1cb51
13       | 17iEhrVV6md9ntGKQgvFnzVeryO | i71
14       | 19VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV91
15       | 1BBzatSXNbE2riqdBEMEuPJUBrv | BB1
16       | 1RK4AmzXH99rVunQ5qCpHNeQRoX | zmA4KR1
17       | 1X5uTbzdRRoiHtqrer6nqtbop8Z | bTu5X1
18       | 1eXZFRxk6nlwwAOX9x4Dtz1xo8P | kxRFZXe1
19       | 1ekXJ0QvnrjU3qpkFSv3gdjDtrC | JXke1
20       | 1eyBgBwQC6kalomgrG8SEnIwcjQ6 | k6CQwBgBye1
21       | 1hRI8rIYTffZe5jxPAfzCvoBgjO7 | r8IRh1
22       | 1p7vDFBjfhFS5xDd2LmkzFnLHUz7 | Dv7p1
23       | 1xo8PobLT3LBHqysDB0OQu8DjOz | 8ox1
24       | 1zvOfzDpcchORCNwkZCx119VOelw | pDzfOvz1
25       | 1J2E1hRI8rIYTffZe5jxPAfzCvoB | 1
26       | 2CVL9cjBaekjOnm6TLMs91BBzatS | jc9LVC2
27       | 2E1hRI8rIYTffZe5jxPAfzCvoBgj | r8IRh1E2
28       | 2LmkzFnLHUz70UvaxV1RK4AmzXH9 | FzkmL2
29       | 2MseLdUQJyxSJ2CVL9cjBaekjOn | esM2
30       | 2TKHR6xyHohGCih4IBjQ3XappCi4 | hoHyx6RHKT2
31       | 2gWqY1X5uTbzdRRoiHtqrer6nqtb | bTu5X1YqWg2
32       | 2riqdBEMEuPJUBrvFwAvW8hL0Vg | MEBdqir2
33       | 2vXnlQeSy7Ptbg7X78S17iEhrVV | lnXv2
34       | 3DnBCpWbLNPC0hlyw8HQgxKQjj1 | CBnD3
35       | 3LBHqysDB0OQu8DjOzQ6UtSotCvI | BDsyqHBL3
36       | 3M7Y9wgEL457kxmF0WWoYKIZmWN | 7M3
37       | 3XappCi4oM1ekXJ0QvnrjU3qpkFS | JXke1Mo4iCppaX3
38       | 3gdjDtrC96wZDYtHBUrBoPTZPYXx | tDjdg3
39       | 3hoPKle7j0FKdUHJ8sjUcqP9OQVE | js8JHUdKF0j7elKPoh3
40       | 3qpkFSv3gdjDtrC96wZDYtHBUrBo | q3
41       | 457kxmF0WWoYKIZmWNI5BVUEVkOV | 0Fmxk754
42       | 49Z0qTBDHYq7TBRZN7gY         | 94
43       | 4AmzXH99rVunQ5qCpHNeQRoXsCY | zmA4
44       | 4Dtz1xo8PobLT3LBHqysDB0OQu8D | 8ox1ztD4
45       | 4H850SXPyEqWMKzIpf6YjQJEeh1p7 | qEyPXS058H4
46       | 4IBjQ3XappCi4oM1ekXJ0QvnrjU3 | I4
47       | 4OHA5OMW5QCRRosoBnQr6MZO2TKHR | soRRCQ5WMO5AHO4
48       | 4oM1ekXJ0QvnrjU3qpkFSv3gdjDt | JXke1Mo4
49       | 4pbhzRJJ15bc1eXZFRxk6nlwwAO | p4
50       | 4CliHlgXTdOOd1zvOfzDpcchORCN | 4
51       | 50SXPyEqWMKzIpf6YjQJEeh1p7vD | qEyPXS05
52       | 57kxmF0WWoYKIZmWNI5BVUEVkOVL | 0Fmxk75
53       | 5BVUEVkOVLmnPUYuNFfkX3DnBCpW | mLVOkVEUVB5
54       | 5OMW5QCRRosoBnQr6MZO2TKHR6xyH | soRRCQ5WMO5
55       | 5QCRRosoBnQr6MZO2TKHR6xyHohG | soRRCQ5
56       | 5bc1eXZFRxk6nlwwAOX9x4Dtz1xo | kxRFZXe1cb5
57       | 5jxPAfzCvoBgjO7vWmGinPoe14C | BovCzfAPxj5
58       | 5qCpHNeQRoXsCYn12gWqY1X5uTbz | RQeNHpCq5
59       | 5uTbzdRRoiHtqrer6nqtbop8ZqF | bTu5
60       | 5xDd2LmkzFnLHUz70UvaxV1RK4Amz | FzkmL2dDx5
61       | 6H8yNUtkeZ4OHA5OMW5QCRRosoBn | Ny8H6
62       | 6MZO2TKHR6xyHohGCih4IBjQ3Xap | hoHyx6RHKT2OZM6
63       | 6TLMs91BBzatSXNbE2riqdBEMEuP | BB19sMLT6
64       | 6UtSotCvI9vIwPpzsbBp3hoPKle7j | BbszpPwIv9IvCtoStU6
65       | 6YjQJEeh1p7vDFBjfhFS5xDd2Lmkz | Dv7p1heEJQjY6
66       | 6arR2vXnlQeSy7Ptbg7X78S17iE | lnXv2Rra6
67       | 6gIRBk8iucZNd4pbhzRJJ15bc1eXZ | p4dNZcui8kBRIg6
68       | 6kalomgrG8SEnIwcjQ6gIRBk8iuc | k6
69       | 6md9ntGKQgvFnzVeryOSILofK4H | znFvgQKGtn9dm6
70       | 6nlwwAOX9x4Dtz1xo8PobLT3LBHq | OAwwln6
71       | 6nqtbop8ZqFSEZhC49Z0qTBDHYq7 | obtqn6
72       | 6wZDYtHBUrBoPTZPYXxteWnU1eyB | PoBrUBHtYDZw6
73       | 6xyHohGCih4IBjQ3XappCi4oM1ek | hoHyx6
74       | 70UvaxV1RK4AmzXH99rVunQ5qCpH | zmA4KR1VxavU07
75       | 78S17iEhrVV6md9ntGKQgvFnzVer | i71S87
76       | 7Ptbg7X78S17iEhrVV6md9ntGKQg | 7gbtP7
77       | 7TBRZN7gY                     | Yg7NZRBT7
78       | 7gY                           | Yg7
79       | 7iEhrVV6md9ntGKQgvFnzVeryOS | i7
80       | 7j0FKdUHJ8sjUcqP9OQVESf6arR2 | js8JHUdKF0j7
81       | 7kxmF0WWoYKIZmWNI5BVUEVkOVLm | 0Fmxk7
82       | 7l8h6H8yNUtkeZ4OHA5OMW5QCRRos | Ny8H6h8l7
83       | 7vDFBjfhFS5xDd2LmkzFnLHUz70U | Dv7
84       | 7vWmGinPoe14CliHlgXTdOOd1zvO | GmWv7
85       | 7Y9wgEL457kxmF0WWoYKIZmWNI5 | 7
86       | 7X78S17iEhrVV6md9ntGKQgvFnz | 7
87       | 850SXPyEqWMKzIpf6YjQJEeh1p7vD | qEyPXS058
88       | 8DjOzQ6UtSotCvI9vIwPpzsbBp3h | zOjD8
89       | 8HQgxKQjj1J2E1hRI8rIYTffZe5 | gQH8
90       | 8S17iEhrVV6md9ntGKQgvFnzVery | i71S8
91       | 8SEnIwcjQ6gIRBk8iucZNd4pbhzR | nES8
92       | 8ZqFSEZhC49Z0qTBDHYq7TBRZN7gY | 94ChZESFqZ8
93       | 8forQoMHE3M7Y9wgEL457kxmF0WW | 7M3EHMoQrof8
94       | 8h6H8yNUtkeZ4OHA5OMW5QCRRoso | Ny8H6h8
95       | 8hL0VgFLtTAgq7l8h6H8yNUtkeZ4 | gV0Lh8
96       | 8iucZNd4pbhzRJJ15bc1eXZFRxk6 | p4dNZcui8
97       | 8rIYTffZe5jxPAfzCvoBgjO7vWmG | r8
98       | 8sjUcqP9OQVESf6arR2vXnlQeSy | js8
99       | 8yNUtkeZ4OHA5OMW5QCRRosoBnQr | Ny8
100      | 8PobLT3LBHqysDB0OQu8DjOzQ6U | 8
101      | 91BBzatSXNbE2riqdBEMEuPJUBr | BB19
102      | 96wZDYtHBUrBoPTZPYXxteWnU1ey | PoBrUBHtYDZw69
103      | 99rVunQ5qCpHNeQRoXsCYn12gWqY | r99
104      | 9VOelw2MseLdUQJyxSJ2CVL9cjB | esM2wleOV9
105      | 9cjBaekjOnm6TLMs91BBzatSXNbE | jc9
106      | 9ntGKQgvFnzVeryOSILofK4H850 | znFvgQKGtn9
107      | 9rVunQ5qCpHNeQRoXsCYn12gWqY1 | r9
108      | 9vIwPpzsbBp3hoPKle7j0FKdUHJ8s | BbszpPwIv9
109      | 9wgEL457kxmF0WWoYKIZmWNI5BVU | 0Fmxk754LEgw9
110      | 9x4Dtz1xo8PobLT3LBHqysDB0OQu | 8ox1ztD4x9
111      | 9OQVESf6arR2vXnlQeSy7Ptbg7X | 9
112      | 9Z0qTBDHYq7TBRZN7gY          | 9
113      | A5OMW5QCRRosoBnQr6MZO2TKHR6xy | soRRCQ5WMO5A
114      | AOX9x4Dtz1xo8PobLT3LBHqysDB | OA
115      | AfzCvoBgjO7vWmGinPoe14CliHl | BovCzfA
116      | Agq7l8h6H8yNUtkeZ4OHA5OMW5QCR | Ny8H6h8l7qgA
117      | AmzXH99rVunQ5qCpHNeQRoXsCYn | zmA
118      | AvW8hL0VgFLtTAgq7l8h6H8yNUtk | gV0Lh8WvA
119      | BBzatSXNbE2riqdBEMEuPJUBrvF | BB
120      | BCpWbLNPC0hlyw8HQgxKQjj1J2E | CB
121      | BDHYq7TBRZN7gY                | Yg7NZRBT7qYHDB
122      | BEMEuPJUBrvFwAvW8hL0VgFLtTA | MEB
123      | BHqysDB0OQu8DjOzQ6UtSotCvI9v | BDsyqHB
124      | BRZN7gY                       | Yg7NZRB
125      | BUrBoPTZPYXxteWnU1eyBgBwQC6k | PoBrUB
126      | BVUEVkOVLmnPUYuNFfkX3DnBCpWb | mLVOkVEUVB
127      | BaekjOnm6TLMs91BBzatSXNbE2riq | BB19sMLT6mnOjkeaB
128      | BgBwQC6kalomgrG8SEnIwcjQ6gIR | k6CQwBgB
129      | BjQ3XappCi4oM1ekXJ0QvnrjU3qp | JXke1Mo4iCppaX3QjB
130      | BjfhFS5xDd2LmkzFnLHUz70UvaxV1 | FzkmL2dDx5SFhfjB
131      | Bk8iucZNd4pbhzRJJ15bc1eXZFRxk | p4dNZcui8kB
132      | BnQr6MZO2TKHR6xyHohGCih4IBjQ | hoHyx6RHKT2OZM6rQnB
133      | BoPTZPYXxteWnU1eyBgBwQC6kal | PoB
134      | BrvFwAvW8hL0VgFLtTAgq7l8h6H8 | rB
135      | BwQC6kalomgrG8SEnIwcjQ6gIRBk | k6CQwB
136      | BgjO7vWmGinPoe14CliHlgXTdOO | B
137      | BzatSXNbE2riqdBEMEuPJUBrvFw | B
138      | B0OQu8DjOzQ6UtSotCvI9vIwPpzs | B
139      | Bp3hoPKle7j0FKdUHJ8sjUcqP9O | B
140      | C0hlyw8HQgxKQjj1J2E1hRI8rIY | gQH8wylh0C
141      | C49Z0qTBDHYq7TBRZN7gY        | 94C
142      | C6kalomgrG8SEnIwcjQ6gIRBk8iu | k6C
143      | C96wZDYtHBUrBoPTZPYXxteWnU1e | PoBrUBHtYDZw69C
144      | CNwkZCx119VOelw2MseLdUQJyxS | NC
145      | CRRosoBnQr6MZO2TKHR6xyHohGCi | soRRC
146      | CVL9cjBaekjOnm6TLMs91BBzatSX | jc9LVC
147      | CYn12gWqY1X5uTbzdRRoiHtqrer6 | bTu5X1YqWg21nYC
148      | Ci4oM1ekXJ0QvnrjU3qpkFSv3gdj | JXke1Mo4iC
149      | Cih4IBjQ3XappCi4oM1ekXJ0Qvnr | I4hiC
150      | CliHlgXTdOOd1zvOfzDpcchORCNw | pDzfOvz1dOOdTXglHilC
151      | CpHNeQRoXsCYn12gWqY1X5uTbzdR | RQeNHpC
152      | CvI9vIwPpzsbBp3hoPKle7j0FKdUH | BbszpPwIv9IvC
153      | CvoBgjO7vWmGinPoe14CliHlgXT | BovC
154      | Cx119VOelw2MseLdUQJyxSJ2CVL9 | esM2wleOV911xC
155      | CpWbLNPC0hlyw8HQgxKQjj1J2E1 | C
156      | DB0OQu8DjOzQ6UtSotCvI9vIwPpz | BD
157      | DHYq7TBRZN7gY                 | Yg7NZRBT7qYHD
158      | DYtHBUrBoPTZPYXxteWnU1eyBgBw | PoBrUBHtYD
159      | Dd2LmkzFnLHUz70UvaxV1RK4AmzX | FzkmL2dD
