Index    | Inverted Suffix                | Original Word
--------------------------------------------------------------------------------
0        | 09sCQ7s9cS3MQljLM2PGTHFWsj9l | 9s7QCs90
1        | 0FKdUHJ8sjUcqP9OQVESf6arR2vX | js8JHUdKF0
2        | 0OQu8DjOzQ6UtSotCvI9vIwPpzsbB | zOjD8uQO0
3        | 0QvnrjU3qpkFSv3gdjDtrC96wZDY | q3UjrnvQ0
4        | 0SXPyEqWMKzIpf6YjQJEeh1p7vDF | qEyPXS0
5        | 0UvaxV1RK4AmzXH99rVunQ5qCpHN | zmA4KR1VxavU0
6        | 0VgFLtTAgq7l8h6H8yNUtkeZ4OHA | gV0
7        | 0hlyw8HQgxKQjj1J2E1hRI8rIYT | gQH8wylh0
8        | 0pxIuuNdQWy4wLG9ABfdUjOWOv9H | 9GLw4yWQdNuuIxp0
9        | 0qTBDHYq7TBRZN7gYdRaKIbdpB3xP | Yg7NZRBT7qYHDBTq0
10       | 0WWoYKIZmWNI5BVUEVkOVLmnPUY | 0
11       | 119VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV911
12       | 12gWqY1X5uTbzdRRoiHtqrer6nqt | bTu5X1YqWg21
13       | 14lFq27CAgNqHQSa18G           | G81aSQHqNgAC72qFl41
14       | 14CliHlgXTdOOd1zvOfzDpcchORC | 41
15       | 15bc1eXZFRxk6nlwwAOX9x4Dtz1x | kxRFZXe1cb51
16       | 15jMz2Wgpn31X3thhULkVRnIjL70 | ht3X13npgW2zMj51
17       | 17iEhrVV6md9ntGKQgvFnzVeryO | i71
18       | 18G                           | G81
19       | 19VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV91
20       | 1BBzatSXNbE2riqdBEMEuPJUBrv | BB1
21       | 1RK4AmzXH99rVunQ5qCpHNeQRoX | zmA4KR1
22       | 1X3thhULkVRnIjL70pxIuuNdQWy4 | ht3X1
23       | 1X5uTbzdRRoiHtqrer6nqtbop8Z | bTu5X1
24       | 1a14lFq27CAgNqHQSa18G        | a1
25       | 1eXZFRxk6nlwwAOX9x4Dtz1xo8P | kxRFZXe1
26       | 1ekXJ0QvnrjU3qpkFSv3gdjDtrC | JXke1
27       | 1eyBgBwQC6kalomgrG8SEnIwcjQ6 | k6CQwBgBye1
28       | 1hRI8rIYTffZe5jxPAfzCvoBgjO7 | r8IRh1
29       | 1p7vDFBjfhFS5xDd2LmkzFnLHUz7 | Dv7p1
30       | 1xo8PobLT3LBHqysDB0OQu8DjOz | 8ox1
31       | 1zvOfzDpcchORCNwkZCx119VOelw | pDzfOvz1
32       | 1J2E1hRI8rIYTffZe5jxPAfzCvoB | 1
33       | 25qne99CeUtsPyodkuoWabOyZbRs | oyPstUeC99enq52
34       | 27CAgNqHQSa18G                | G81aSQHqNgAC72
35       | 2CVL9cjBaekjOnm6TLMs91BBzatS | jc9LVC2
36       | 2E1hRI8rIYTffZe5jxPAfzCvoBgj | r8IRh1E2
37       | 2LmkzFnLHUz70UvaxV1RK4AmzXH9 | FzkmL2
38       | 2MseLdUQJyxSJ2CVL9cjBaekjOn | esM2
39       | 2PGTHFWsj9lhvUYDZpZ4G8HikUjx | l9jsWFHTGP2
40       | 2TKHR6xyHohGCih4IBjQ3XappCi4 | hoHyx6RHKT2
41       | 2Wgpn31X3thhULkVRnIjL70pxIuu | ht3X13npgW2
42       | 2gWqY1X5uTbzdRRoiHtqrer6nqtb | bTu5X1YqWg2
43       | 2riqdBEMEuPJUBrvFwAvW8hL0Vg | MEBdqir2
44       | 2vXnlQeSy7Ptbg7X78S17iEhrVV | lnXv2
45       | 31X3thhULkVRnIjL70pxIuuNdQWy | ht3X13
46       | 3DnBCpWbLNPC0hlyw8HQgxKQjj1 | CBnD3
47       | 3LBHqysDB0OQu8DjOzQ6UtSotCvI | BDsyqHBL3
48       | 3M7Y9wgEL457kxmF0WWoYKIZmWN | 7M3
49       | 3MQljLM2PGTHFWsj9lhvUYDZpZ4G8 | l9jsWFHTGP2MLjlQM3
50       | 3XappCi4oM1ekXJ0QvnrjU3qpkFS | JXke1Mo4iCppaX3
51       | 3gdjDtrC96wZDYtHBUrBoPTZPYXx | tDjdg3
52       | 3hPM56AmT6QYGBcl35VqbQOLIPMVI | 3lcBGYQ6TmA65MPh3
53       | 3hoPKle7j0FKdUHJ8sjUcqP9OQVE | js8JHUdKF0j7elKPoh3
54       | 3qpkFSv3gdjDtrC96wZDYtHBUrBo | q3
55       | 3thhULkVRnIjL70pxIuuNdQWy4wL | ht3
56       | 3xPySQU573hPM56AmT6QYGBcl35V | 75UQSyPx3
57       | 35VqbQOLIPMVIAorhKyR7viKY81 | 3
58       | 457kxmF0WWoYKIZmWNI5BVUEVkOV | 0Fmxk754
59       | 49Z0qTBDHYq7TBRZN7gYdRaKIbdp | 94
60       | 4AmzXH99rVunQ5qCpHNeQRoXsCY | zmA4
61       | 4Dtz1xo8PobLT3LBHqysDB0OQu8D | 8ox1ztD4
62       | 4G8HikUjxsXcfJWSwvAnUbNiyJ1a | UkiH8G4
63       | 4H850SXPyEqWMKzIpf6YjQJEeh1p7 | qEyPXS058H4
64       | 4IBjQ3XappCi4oM1ekXJ0QvnrjU3 | I4
65       | 4OHA5OMW5QCRRosoBnQr6MZO2TKHR | soRRCQ5WMO5AHO4
66       | 4lFq27CAgNqHQSa18G            | G81aSQHqNgAC72qFl4
67       | 4oM1ekXJ0QvnrjU3qpkFSv3gdjDt | JXke1Mo4
68       | 4pbhzRJJ15bc1eXZFRxk6nlwwAO | p4
69       | 4wLG9ABfdUjOWOv9HbfpZUxVun2 | 9GLw4
70       | 4CliHlgXTdOOd1zvOfzDpcchORCN | 4
71       | 50SXPyEqWMKzIpf6YjQJEeh1p7vD | qEyPXS05
72       | 56AmT6QYGBcl35VqbQOLIPMVIAorh | 3lcBGYQ6TmA65
73       | 57kxmF0WWoYKIZmWNI5BVUEVkOVL | 0Fmxk75
74       | 573hPM56AmT6QYGBcl35VqbQOLIP | 75
75       | 5BVUEVkOVLmnPUYuNFfkX3DnBCpW | mLVOkVEUVB5
76       | 5OMW5QCRRosoBnQr6MZO2TKHR6xyH | soRRCQ5WMO5
77       | 5QCRRosoBnQr6MZO2TKHR6xyHohG | soRRCQ5
78       | 5VqbQOLIPMVIAorhKyR7viKY815j | hroAIVMPILOQbqV5
79       | 5bc1eXZFRxk6nlwwAOX9x4Dtz1xo | kxRFZXe1cb5
80       | 5jMz2Wgpn31X3thhULkVRnIjL70p | ht3X13npgW2zMj5
