Index    | Inverted Suffix                | Original Word
--------------------------------------------------------------------------------
0        | 09sCQ7s9cS3MQljLM2PGTHFWsj9l | 9s7QCs90
1        | 0DjFgtrd4A62zPEi9wKAUHUiiN2En | Pz26A4drtgFjD0
2        | 0FKdUHJ8sjUcqP9OQVESf6arR2vX | js8JHUdKF0
3        | 0OQu8DjOzQ6UtSotCvI9vIwPpzsbB | zOjD8uQO0
4        | 0QvnrjU3qpkFSv3gdjDtrC96wZDY | q3UjrnvQ0
5        | 0SXPyEqWMKzIpf6YjQJEeh1p7vDF | qEyPXS0
6        | 0UvaxV1RK4AmzXH99rVunQ5qCpHN | zmA4KR1VxavU0
7        | 0VgFLtTAgq7l8h6H8yNUtkeZ4OHA | gV0
8        | 0hlyw8HQgxKQjj1J2E1hRI8rIYT | gQH8wylh0
9        | 0pxIuuNdQWy4wLG9ABfdUjOWOv9H | 9GLw4yWQdNuuIxp0
10       | 0qTBDHYq7TBRZN7gYdRaKIbdpB3xP | Yg7NZRBT7qYHDBTq0
11       | 0WWoYKIZmWNI5BVUEVkOVLmnPUY | 0
12       | 119VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV911
13       | 12gWqY1X5uTbzdRRoiHtqrer6nqt | bTu5X1YqWg21
14       | 14lFq27CAgNqHQSa18GtCHIvHjE9K | G81aSQHqNgAC72qFl41
15       | 14CliHlgXTdOOd1zvOfzDpcchORC | 41
16       | 15bc1eXZFRxk6nlwwAOX9x4Dtz1x | kxRFZXe1cb51
17       | 15jMz2Wgpn31X3thhULkVRnIjL70 | ht3X13npgW2zMj51
18       | 17iEhrVV6md9ntGKQgvFnzVeryO | i71
19       | 18GtCHIvHjE9KsrYpfcVyPEzjgtz | G81
20       | 19VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV91
21       | 1BBzatSXNbE2riqdBEMEuPJUBrv | BB1
22       | 1RK4AmzXH99rVunQ5qCpHNeQRoX | zmA4KR1
23       | 1X3thhULkVRnIjL70pxIuuNdQWy4 | ht3X1
24       | 1X5uTbzdRRoiHtqrer6nqtbop8Z | bTu5X1
25       | 1a14lFq27CAgNqHQSa18GtCHIvHj | a1
26       | 1eXZFRxk6nlwwAOX9x4Dtz1xo8P | kxRFZXe1
27       | 1ekXJ0QvnrjU3qpkFSv3gdjDtrC | JXke1
28       | 1eyBgBwQC6kalomgrG8SEnIwcjQ6 | k6CQwBgBye1
29       | 1hRI8rIYTffZe5jxPAfzCvoBgjO7 | r8IRh1
30       | 1p7vDFBjfhFS5xDd2LmkzFnLHUz7 | Dv7p1
31       | 1xo8PobLT3LBHqysDB0OQu8DjOz | 8ox1
32       | 1zvOfzDpcchORCNwkZCx119VOelw | pDzfOvz1
33       | 1J2E1hRI8rIYTffZe5jxPAfzCvoB | 1
34       | 25qne99CeUtsPyodkuoWabOyZbRs | oyPstUeC99enq52
35       | 27CAgNqHQSa18GtCHIvHjE9KsrYp | G81aSQHqNgAC72
36       | 2CVL9cjBaekjOnm6TLMs91BBzatS | jc9LVC2
37       | 2E1hRI8rIYTffZe5jxPAfzCvoBgj | r8IRh1E2
38       | 2En                           | nE2
39       | 2LmkzFnLHUz70UvaxV1RK4AmzXH9 | FzkmL2
40       | 2MseLdUQJyxSJ2CVL9cjBaekjOn | esM2
41       | 2PGTHFWsj9lhvUYDZpZ4G8HikUjx | l9jsWFHTGP2
42       | 2TKHR6xyHohGCih4IBjQ3XappCi4 | hoHyx6RHKT2
43       | 2Wgpn31X3thhULkVRnIjL70pxIuu | ht3X13npgW2
44       | 2gWqY1X5uTbzdRRoiHtqrer6nqtb | bTu5X1YqWg2
45       | 2riqdBEMEuPJUBrvFwAvW8hL0Vg | MEBdqir2
46       | 2vXnlQeSy7Ptbg7X78S17iEhrVV | lnXv2
47       | 2zPEi9wKAUHUiiN2En           | Pz2
48       | 31X3thhULkVRnIjL70pxIuuNdQWy | ht3X13
49       | 3DnBCpWbLNPC0hlyw8HQgxKQjj1 | CBnD3
50       | 3LBHqysDB0OQu8DjOzQ6UtSotCvI | BDsyqHBL3
51       | 3M7Y9wgEL457kxmF0WWoYKIZmWN | 7M3
52       | 3MQljLM2PGTHFWsj9lhvUYDZpZ4G8 | l9jsWFHTGP2MLjlQM3
53       | 3XappCi4oM1ekXJ0QvnrjU3qpkFS | JXke1Mo4iCppaX3
54       | 3gdjDtrC96wZDYtHBUrBoPTZPYXx | tDjdg3
55       | 3hPM56AmT6QYGBcl35VqbQOLIPMVI | 3lcBGYQ6TmA65MPh3
56       | 3hoPKle7j0FKdUHJ8sjUcqP9OQVE | js8JHUdKF0j7elKPoh3
57       | 3qpkFSv3gdjDtrC96wZDYtHBUrBo | q3
58       | 3thhULkVRnIjL70pxIuuNdQWy4wL | ht3
59       | 3xPySQU573hPM56AmT6QYGBcl35V | 75UQSyPx3
60       | 35VqbQOLIPMVIAorhKyR7viKY81 | 3
61       | 457kxmF0WWoYKIZmWNI5BVUEVkOV | 0Fmxk754
62       | 49Z0qTBDHYq7TBRZN7gYdRaKIbdp | 94
63       | 4A62zPEi9wKAUHUiiN2En        | Pz26A4
64       | 4AmzXH99rVunQ5qCpHNeQRoXsCY | zmA4
65       | 4Dtz1xo8PobLT3LBHqysDB0OQu8D | 8ox1ztD4
66       | 4G8HikUjxsXcfJWSwvAnUbNiyJ1a | UkiH8G4
67       | 4H850SXPyEqWMKzIpf6YjQJEeh1p7 | qEyPXS058H4
68       | 4IBjQ3XappCi4oM1ekXJ0QvnrjU3 | I4
69       | 4OHA5OMW5QCRRosoBnQr6MZO2TKHR | soRRCQ5WMO5AHO4
70       | 4lFq27CAgNqHQSa18GtCHIvHjE9Ks | G81aSQHqNgAC72qFl4
71       | 4oM1ekXJ0QvnrjU3qpkFSv3gdjDt | JXke1Mo4
72       | 4pbhzRJJ15bc1eXZFRxk6nlwwAO | p4
73       | 4wLG9ABfdUjOWOv9HbfpZUxVun2 | 9GLw4
74       | 4CliHlgXTdOOd1zvOfzDpcchORCN | 4
75       | 50SXPyEqWMKzIpf6YjQJEeh1p7vD | qEyPXS05
76       | 56AmT6QYGBcl35VqbQOLIPMVIAorh | 3lcBGYQ6TmA65
77       | 57kxmF0WWoYKIZmWNI5BVUEVkOVL | 0Fmxk75
78       | 573hPM56AmT6QYGBcl35VqbQOLIP | 75
79       | 5BVUEVkOVLmnPUYuNFfkX3DnBCpW | mLVOkVEUVB5
