Index    | Inverted Suffix                | Original Word
--------------------------------------------------------------------------------
0        | 09sCQ7s9cS3MQljLM2PGTHFWsj9l | 9s7QCs90
1        | 0DjFgtrd4A62zPEi9wKAUHUiiN2En | Pz26A4drtgFjD0
2        | 0FKdUHJ8sjUcqP9OQVESf6arR2vX | js8JHUdKF0
3        | 0OQu8DjOzQ6UtSotCvI9vIwPpzsbB | zOjD8uQO0
4        | 0QvnrjU3qpkFSv3gdjDtrC96wZDY | q3UjrnvQ0
5        | 0SXPyEqWMKzIpf6YjQJEeh1p7vDF | qEyPXS0
6        | 0UvaxV1RK4AmzXH99rVunQ5qCpHN | zmA4KR1VxavU0
7        | 0VgFLtTAgq7l8h6H8yNUtkeZ4OHA | gV0
8        | 0ffu7jvRXaYKnqIDhVVeEf62dAf3 | nKYaXRvj7uff0
9        | 0hlyw8HQgxKQjj1J2E1hRI8rIYT | gQH8wylh0
10       | 0pxIuuNdQWy4wLG9ABfdUjOWOv9H | 9GLw4yWQdNuuIxp0
11       | 0qTBDHYq7TBRZN7gYdRaKIbdpB3xP | Yg7NZRBT7qYHDBTq0
12       | 0WWoYKIZmWNI5BVUEVkOVLmnPUY | 0
13       | 119VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV911
14       | 12gWqY1X5uTbzdRRoiHtqrer6nqt | bTu5X1YqWg21
15       | 14lFq27CAgNqHQSa18GtCHIvHjE9K | G81aSQHqNgAC72qFl41
16       | 14CliHlgXTdOOd1zvOfzDpcchORC | 41
17       | 15bc1eXZFRxk6nlwwAOX9x4Dtz1x | kxRFZXe1cb51
18       | 15jMz2Wgpn31X3thhULkVRnIjL70 | ht3X13npgW2zMj51
19       | 17iEhrVV6md9ntGKQgvFnzVeryO | i71
20       | 18GtCHIvHjE9KsrYpfcVyPEzjgtz | G81
21       | 19VOelw2MseLdUQJyxSJ2CVL9cj | esM2wleOV91
22       | 1Af8Z9dI1BlzHO9Fz84iwcWcMgi | fA1
23       | 1BBzatSXNbE2riqdBEMEuPJUBrv | BB1
24       | 1BlzHO9Fz84iwcWcMgiQVUplnXoW | B1
25       | 1I2OhXAFsLxSKMhjt3BS          | SB3tjhMKSxLsFAXhO2I1
26       | 1RK4AmzXH99rVunQ5qCpHNeQRoX | zmA4KR1
27       | 1Wc6FgFWDUGLu6MDPxNxqUwhqyf6 | GUDWFgF6cW1
28       | 1X3thhULkVRnIjL70pxIuuNdQWy4 | ht3X1
29       | 1X5uTbzdRRoiHtqrer6nqtbop8Z | bTu5X1
30       | 1a14lFq27CAgNqHQSa18GtCHIvHj | a1
31       | 1eXZFRxk6nlwwAOX9x4Dtz1xo8P | kxRFZXe1
32       | 1ekXJ0QvnrjU3qpkFSv3gdjDtrC | JXke1
33       | 1eyBgBwQC6kalomgrG8SEnIwcjQ6 | k6CQwBgBye1
34       | 1hRI8rIYTffZe5jxPAfzCvoBgjO7 | r8IRh1
35       | 1p7vDFBjfhFS5xDd2LmkzFnLHUz7 | Dv7p1
36       | 1xo8PobLT3LBHqysDB0OQu8DjOz | 8ox1
37       | 1zvOfzDpcchORCNwkZCx119VOelw | pDzfOvz1
38       | 1J2E1hRI8rIYTffZe5jxPAfzCvoB | 1
39       | 25qne99CeUtsPyodkuoWabOyZbRs | oyPstUeC99enq52
40       | 27CAgNqHQSa18GtCHIvHjE9KsrYp | G81aSQHqNgAC72
41       | 2CVL9cjBaekjOnm6TLMs91BBzatS | jc9LVC2
42       | 2E1hRI8rIYTffZe5jxPAfzCvoBgj | r8IRh1E2
43       | 2En7ACWq9xdynEkhjbm6G7kAgVU | nE2
44       | 2LmkzFnLHUz70UvaxV1RK4AmzXH9 | FzkmL2
45       | 2MseLdUQJyxSJ2CVL9cjBaekjOn | esM2
46       | 2OhXAFsLxSKMhjt3BS            | SB3tjhMKSxLsFAXhO2
47       | 2PGTHFWsj9lhvUYDZpZ4G8HikUjx | l9jsWFHTGP2
48       | 2TKHR6xyHohGCih4IBjQ3XappCi4 | hoHyx6RHKT2
49       | 2Wgpn31X3thhULkVRnIjL70pxIuu | ht3X13npgW2
50       | 2dAf3PTnrb1I2OhXAFsLxSKMhjt3 | d2
51       | 2gWqY1X5uTbzdRRoiHtqrer6nqtb | bTu5X1YqWg2
52       | 2riqdBEMEuPJUBrvFwAvW8hL0Vg | MEBdqir2
53       | 2vXnlQeSy7Ptbg7X78S17iEhrVV | lnXv2
54       | 2zPEi9wKAUHUiiN2En7ACWq9xdyn | Pz2
55       | 31X3thhULkVRnIjL70pxIuuNdQWy | ht3X13
56       | 368HTYL0ffu7jvRXaYKnqIDhVVeE | 63
57       | 3BS                           | SB3
58       | 3DnBCpWbLNPC0hlyw8HQgxKQjj1 | CBnD3
59       | 3HZFSL368HTYL0ffu7jvRXaYKnqI | 63LSFZH3
60       | 3LBHqysDB0OQu8DjOzQ6UtSotCvI | BDsyqHBL3
61       | 3M7Y9wgEL457kxmF0WWoYKIZmWN | 7M3
62       | 3MQljLM2PGTHFWsj9lhvUYDZpZ4G8 | l9jsWFHTGP2MLjlQM3
63       | 3PTnrb1I2OhXAFsLxSKMhjt3BS   | brnTP3
64       | 3XappCi4oM1ekXJ0QvnrjU3qpkFS | JXke1Mo4iCppaX3
65       | 3ZQyDd7CG1Wc6FgFWDUGLu6MDPxN | Z3
66       | 3gdjDtrC96wZDYtHBUrBoPTZPYXx | tDjdg3
67       | 3hPM56AmT6QYGBcl35VqbQOLIPMVI | 3lcBGYQ6TmA65MPh3
68       | 3hoPKle7j0FKdUHJ8sjUcqP9OQVE | js8JHUdKF0j7elKPoh3
69       | 3qpkFSv3gdjDtrC96wZDYtHBUrBo | q3
70       | 3thhULkVRnIjL70pxIuuNdQWy4wL | ht3
71       | 3xPySQU573hPM56AmT6QYGBcl35V | 75UQSyPx3
72       | 35VqbQOLIPMVIAorhKyR7viKY81 | 3
73       | 457kxmF0WWoYKIZmWNI5BVUEVkOV | 0Fmxk754
74       | 49Z0qTBDHYq7TBRZN7gYdRaKIbdp | 94
75       | 4A62zPEi9wKAUHUiiN2En7ACWq9x | Pz26A4
76       | 4AmzXH99rVunQ5qCpHNeQRoXsCY | zmA4
77       | 4Dtz1xo8PobLT3LBHqysDB0OQu8D | 8ox1ztD4
78       | 4G8HikUjxsXcfJWSwvAnUbNiyJ1a | UkiH8G4
79       | 4H850SXPyEqWMKzIpf6YjQJEeh1p7 | qEyPXS058H4
80       | 4IBjQ3XappCi4oM1ekXJ0QvnrjU3 | I4
